kid,billable_serv_id,service_addr,type,rate_code,bill_date,consumpsum
100014,166930,920 KNOX MOUNTAIN DR  900 KELOWNA,W,602,2013-01-06,400
100382,182083,1436 ST PAUL ST KELOWNA,W,604,2013-01-06,1355
100382,182084,1436 ST PAUL ST KELOWNA,W,600,2013-01-06,0
100382,182087,1436 ST PAUL ST KELOWNA,W,601,2013-01-06,74
100432,102210,721 BERNARD AVE KELOWNA,W,600,2013-01-06,646
100444,102418,1310 BERTRAM ST KELOWNA,W,600,2013-01-26,124
100800,109700,GYRO BEACH KELOWNA,W,600,2013-03-26,273
100800,109701,GYRO BEACH KELOWNA,W,600,2013-03-26,486
100800,183959,GYRO BEACH  IRR KELOWNA,W,695,2013-01-26,7853
100800,185991,3400 LAKESHORE RD  APPLE KELOWNA,W,601,2013-05-26,3
100812,109700,GYRO BEACH KELOWNA,W,600,2013-03-26,273
100812,109701,GYRO BEACH KELOWNA,W,600,2013-03-26,486
100812,183959,GYRO BEACH  IRR KELOWNA,W,695,2013-01-26,7853
100812,185991,3400 LAKESHORE RD  APPLE KELOWNA,W,601,2013-05-26,3
100824,109700,GYRO BEACH KELOWNA,W,600,2013-03-26,273
100824,109701,GYRO BEACH KELOWNA,W,600,2013-03-26,486
100824,183959,GYRO BEACH  IRR KELOWNA,W,695,2013-01-26,7853
100824,185991,3400 LAKESHORE RD  APPLE KELOWNA,W,601,2013-05-26,3
100836,109700,GYRO BEACH KELOWNA,W,600,2013-03-26,273
100836,109701,GYRO BEACH KELOWNA,W,600,2013-03-26,486
100836,183959,GYRO BEACH  IRR KELOWNA,W,695,2013-01-26,7853
100836,185991,3400 LAKESHORE RD  APPLE KELOWNA,W,601,2013-05-26,3
100848,109700,GYRO BEACH KELOWNA,W,600,2013-03-26,273
100848,109701,GYRO BEACH KELOWNA,W,600,2013-03-26,486
100848,183959,GYRO BEACH  IRR KELOWNA,W,695,2013-01-26,7853
100848,185991,3400 LAKESHORE RD  APPLE KELOWNA,W,601,2013-05-26,3
100851,109700,GYRO BEACH KELOWNA,W,600,2013-03-26,273
100851,109701,GYRO BEACH KELOWNA,W,600,2013-03-26,486
100851,183959,GYRO BEACH  IRR KELOWNA,W,695,2013-01-26,7853
100851,185991,3400 LAKESHORE RD  APPLE KELOWNA,W,601,2013-05-26,3
100863,109700,GYRO BEACH KELOWNA,W,600,2013-03-26,273
100863,109701,GYRO BEACH KELOWNA,W,600,2013-03-26,486
100863,183959,GYRO BEACH  IRR KELOWNA,W,695,2013-01-26,7853
100863,185991,3400 LAKESHORE RD  APPLE KELOWNA,W,601,2013-05-26,3
100875,109700,GYRO BEACH KELOWNA,W,600,2013-03-26,273
100875,109701,GYRO BEACH KELOWNA,W,600,2013-03-26,486
